,Date,BSI
0,12/31/2019,1000.0
1,01/01/2020,1000.95
2,01/03/2020,1018.0366666666667
3,01/06/2020,1019.91
4,01/07/2020,1019.97
5,01/08/2020,1022.175
6,01/09/2020,1017.7466666666666
7,01/10/2020,1019.73
8,01/13/2020,1020.93
9,01/14/2020,1023.3299999999999
10,01/15/2020,1022.45
11,01/16/2020,1022.97
12,01/17/2020,1025.29
13,01/20/2020,1020.995
14,01/21/2020,1023.2
15,01/22/2020,1025.3700000000001
16,01/23/2020,1020.25
17,01/24/2020,1016.225
18,01/27/2020,1016.005
19,01/28/2020,1015.745
20,01/29/2020,1013.645
21,01/30/2020,1011.595
22,01/31/2020,1007.96
23,02/03/2020,1006.135
24,02/04/2020,1006.9100000000001
25,02/05/2020,1007.52
26,02/06/2020,1014.47
27,02/07/2020,1010.735
28,02/10/2020,1009.02
29,02/11/2020,1019.395
30,02/12/2020,1010.355
31,02/13/2020,1009.9
32,02/14/2020,1007.7133333333335
33,02/17/2020,1005.23
34,02/18/2020,999.39
35,02/19/2020,997.875
36,02/20/2020,994.505
37,02/26/2020,994.6
38,02/27/2020,994.6
39,02/28/2020,1003.3499999999999
40,03/02/2020,1001.29
41,03/03/2020,1001.3333333333334
42,03/04/2020,999.35
43,03/05/2020,998.18
44,03/06/2020,994.8
45,03/09/2020,991.88
46,03/10/2020,990.97
47,03/11/2020,985.1833333333334
48,03/12/2020,976.99
49,03/13/2020,973.85
50,03/16/2020,966.97
51,03/17/2020,966.32
52,03/18/2020,968.0450000000001
53,03/19/2020,959.57
54,03/20/2020,956.98
55,03/23/2020,955.71
56,03/24/2020,954.2
57,03/25/2020,949.04
58,03/26/2020,947.2950000000001
59,03/27/2020,949.11
60,03/30/2020,953.32
61,04/02/2020,949.5250000000001
62,04/03/2020,948.09
63,04/06/2020,947.47
64,04/07/2020,946.3199999999999
65,04/08/2020,954.6
66,04/09/2020,949.2650000000001
67,04/10/2020,936.22
68,04/13/2020,934.24
69,04/14/2020,927.41
70,04/15/2020,925.735
71,04/16/2020,926.945
72,04/17/2020,927.905
73,04/20/2020,923.6949999999999
74,04/21/2020,919.585
75,04/22/2020,920.43
