2020-05-21 15:55:32, good night my beautiful friend https t co 7iUFe9iiaI https t co qtMjRgEako , SyedSaa1 , ,1600,Thimphu 
2020-05-21 15:51:34, ESPNcricinfo GeoffreyBoycott Geoffrey Boycott Mirrored xf0 x9f x99 x83 , ugyen , ,146,Thimphu 
2020-05-21 15:33:40, Feline xe2 x80 x99s Love https t co JCUmfCntJI , BrezzyNemo , ,10,Thimphu 
2020-05-21 14:50:15, Thank you BBSBhutan for the programme to mark Gyalyum Kudrel xe2 x80 x99s 90th birthday This was very meaningful and educative highlighting some important contributions of Her Majesty in our nation xe2 x80 x99s journey May Gyalyum Kudrel continue to enjoy good health and inspire us , sangaykhandu , ,7856,Thimphu 
2020-05-21 14:24:10, Beautiful flowers with dew drops in the neighborhood So preoccupied with Covid that we didn xe2 x80 x99t even notice it https t co rxMpOnvpw8 , pem pa , ,329,Thimphu 
2020-05-21 14:18:04, Beyond the Snapshots Telling Stories Through Photography by nithildennis A storyteller photographer and filmmaker who looks beyond the boundaries of the human mind in search of the soul that expresses its true xe2 x80 xa6 https t co v7qcJyNC2p , duptshering6 , ,418,Bhutan 
2020-05-21 14:12:15, Would you not issue an immediate refund Especially since the cancellation happened in less than 24 hours of the purchase All this makes it seem like you xe2 x80 x99re collecting money to run operations at the expense of people who just want to go home TurkishAirlines TK HelpDesk , Pemaschocho , ,76,Thimphu 
2020-05-21 14:12:15, I know for a matter of fact that at least 10 other people bought tickets for that flight They are all having the same problem TurkishAirlines TK HelpDesk I understand that you might have had to cancel your flight due to low passenger turnout but why https t co tzpCBUVKbe , Pemaschocho , ,76,Thimphu 
2020-05-21 14:12:10, About refund for the cancelled flight I xe2 x80 x99m now being told that a refund will be issued only after 2 months To add insult to injury my credit card has been charged twice for each payment I xe2 x80 x99ve been charged for 4 tickets when I only purchased 2 TurkishAirlines TK HelpDesk , Pemaschocho , ,76,Thimphu 
2020-05-21 14:12:10, TK HelpDesk I bought two tickets from TurkishAirlines for my sisters to come back home from America The day after we paid for the tickets the flight was cancelled and we didnt receive a refund In fact when we called your help desk you hung up on us as soon as we asked , Pemaschocho , ,76,Thimphu 
2020-05-21 13:53:37, suksuk z Awesome Giving me scary vibe , lee tshering , ,9,Thimphu 
2020-05-21 13:08:20, Something about volumetrics I love Changjiji time 7 09 pm Thimphu Bhutan memories pictureoftheday natural light bloom cycles eevee inspiration scene backgrounds Trowa Theatre https t co 7e4qPCTKEI , ChhetriAbhinaya , volumetrics Changjiji time Thimphu Bhutan memories pictureoftheday natural light bloom cycles eevee inspiration scene backgrounds ,2,Thimphu 
2020-05-21 12:37:29, Waiting for the days in the future to come where i will stop getting sty infections The pain is something else and even period doesn t make me this moody and irritable , its Astrophile , ,1,Thimphu 
2020-05-21 12:35:11, ImihcWangmo It s not from last night the whole day today too it wasn t working , yiwangpindarica , ,6953,Thimphu 
2020-05-21 12:17:46, fumblypd Yes Got a new wingle from Tashicell today No thank you Bmobile , namgayzam , ,21946,Thimphu 
2020-05-21 12:05:16, vickyharp AzureDataStudio Yes have been using in windows OS but in mac its taking time to alter tables , younten , ,114,Thimphu 
2020-05-21 11:56:04, SamanthaJohnson Great to be connected xf0 x9f x98 x80 , bhutannorter , ,144,Thimphu 
2020-05-21 11:43:50, Wishing a very happy 90th Birthday to Her Majesty The Royal Grandmother Ashi Kesang Choeden Wangchuck Her Majesty has been one of the main pillars of the Monarchy in Bhutan in not only the important positions held by Her Majesty as the Queen of Bhutan https t co 1bw0xKxH5w https t co 5kkbjkfVSP , TenzingLamsang , ,19879,Thimphu 
2020-05-21 11:43:46, Thank you Tashicell xf0 x9f x99 x8f xf0 x9f x8f xbc , namgayzam , ,21946,Thimphu 
2020-05-21 11:30:24, lozzawayne SuperStarBTStwt I feel you , Scarlet bunny , ,141,Thimphu 
2020-05-21 11:18:35, Behold the magic of music on World Culture Day Sitar recital of immortal bhajans Vaishnav Jan To amp Raghupati Raghav Rajaram amp Rag Bhairavi enchanted a large audience in Bhutan xe2 x81 xa6 xe2 x81 xa6 ICCR Delhi xe2 x81 xa9 xe2 x81 xa6 xe2 x81 xa6 DineshKPatnaik xe2 x81 xa9 xe2 x81 xa6 xe2 x81 xa6 MEAIndia xe2 x81 xa9 https t co rf7gE5eUoo , Indiainbhutan , ,9288,Thimphu 
2020-05-21 10:48:22, On this auspicious 90th Birth Anniversary of Her Majesty the Royal Grandmother who unwaveringly continues to bless all sentient beings I join the nation in offering my prayers for Her Majesty s good health and happiness https t co AfjAaBg0Ek , FMBhutan , ,2960,Thimphu 
2020-05-21 10:01:35, donnfelker You are so kind thank U , cege79 , ,24,Thimphu 
