2020-06-29 14:22:11, Pleased to have witnessed along with DrSJaishankar the signing of the first ever JV hydroelectric project between Bhutan and India The Concession Agreement for 600 MW Kholongchhu Hydroelectric Project marks another milestone in the Bhutan India hydropower cooperation , FMBhutan , ,3265,Thimphu 
2020-06-29 14:18:26, HRH Dasho Ugyen Jigme Wangchuck completed the 38th batch Accelerated De suung Training in April 2020 and takes pride to join the fellow De suups for COVID 19 duty amp patrolling duty in Babesa Changjiji and Changzamtog areas in Thimphu along with De suups and RBP personnel https t co iZEm0E5dOq , business bhutan , ,10351,Thimphu 
2020-06-29 13:51:00, A sincere appeal from the frontlineworkers Follow the newnorm cause we ve got to live with COVID19 PMBhutan dwangmothimphu COVID 19BHU https t co UehdYCr8Es , MoHBhutan , frontlineworkers newnorm COVID19 COVID 19BHU ,1356,Thimphu 
2020-06-29 13:49:07, A sincere appeal from the frontlineworkers Follow the newnorm cause we ve got to live with COVID19 PMBhutan dwangmothimphu COVID 19BHU https t co LcwYtLksp9 , MoHBhutan , frontlineworkers newnorm COVID19 COVID 19BHU ,1356,Thimphu 
2020-06-29 13:46:38, My account of how public trust in the government amp clergy came in handy to fight the pandemic in Bhutan zero deaths no community transmission only 32 active cases https t co ay1PoE3LPm , namgayzam , Bhutan ,22550,Thimphu 
2020-06-29 13:17:21, NathanBaconFC Don t be a cheeky scroller subscribe to Nathan bacon xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 Am I right , DeependraKoira5 , ,8,Thimphu 
2020-06-29 13:11:48, Very sad https t co q0bkUH3jLj , ChhedupSangay , ,1065,Thimphu 
2020-06-29 12:51:25, My account of how public trust in the government and clergy came in handy to fight the pandemic in Bhutan https t co 7VKWOmhyI9 , namgayzam , Bhutan ,22550,Thimphu 
2020-06-29 12:47:00, 2nd Launch anniversary of BIRDS 2 BHUTAN 1 MAYA 1 UiTMSat 1 satellites https t co gHg3aT1eoF https t co DHqVScKhJc , pradhan557 , ,256,Thimphu 
2020-06-29 12:43:31, zyreenn Take care bro , uchiha soma , ,34,Thimphu 
2020-06-29 12:38:46, good evening Miss Rao Sb pls have coffee with me https t co hdE8RNqmQB https t co Zu13vgszD0 , SyedSaa1 , ,1574,Thimphu 
2020-06-29 11:51:19, Written Examination Result for Senior Lecturer Lecturer Associate Lecturer xc2 xa0Anatomy https t co xBKgvFmFL3 , umsb123 , ,52,Thimphu 
2020-06-29 10:47:24, nanro v Hey homie xf0 x9f x98 x88 , uchiha soma , ,34,Thimphu 
2020-06-29 10:16:19, My work place has too many supervisors and lead person there are the real ones and than there are self claimed ones , chenchodm , ,232,Thimphu 
2020-06-29 09:31:54, zyreenn I ll be your friend , uchiha soma , ,34,Thimphu 
2020-06-29 09:09:30, zyreenn XD sorry zy xf0 x9f xa4 xa3 but the beta sure is full of bugs and unfinished business Rn I can t smelt gold ore to gold ingot , uchiha soma , ,34,Thimphu 
2020-06-29 09:04:57, zyreenn Creative zyreen seriously , uchiha soma , ,34,Thimphu 
2020-06-29 09:04:18, LorddeviI zyreenn You have a friend here , uchiha soma , ,34,Thimphu 
