,,,,,
,,,,,
7/11/20 16:22, TheAaryanKartik where will you travel first once this gets over , BhutanTripAdv , ,5908,Thimphu 
7/11/20 15:19, RahulGandhi Useless Congress have nothing to write against BJP thus they write all nonsense , nidhi bhattarai , ,3,Thimphu 
7/11/20 15:08, Getting back nearly after 4 years , Karma0543 , ,7,Thimphu 
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
7/11/20 13:53, https t co 3kzacuaIxR How do you improve your wellness score Want to know the simplest of ways that could help to make a substantial difference in your health Check this article to find out more details on your health and Wellness Check Lists , backyardheaven , ,253,Thimphu 
7/11/20 13:22, If scoring 2 is brace And scoring 3 is hatrick What is scoring 4 in a game called Antonio You made FPL manager regret for not having you on their team xf0 x9f xa5 xba , DeependraKoira5 , ,19,Thimphu 
7/11/20 13:20, FactsFpl Thank you so much for the share xf0 x9f x99 x82 , DeependraKoira5 , ,19,Thimphu 
7/11/20 13:11, beautiful color just likey car paint https t co om9d0jlnGd https t co JkKygVQvVs , SyedSaa1 , ,1572,Thimphu 
7/11/20 12:19, xo audrey Maybe one day we will be there at all I just want to be sure I have the right to be mad at me for not being xf0 x9f x92 xaf , uchiha soma , ,65,Thimphu 
7/11/20 12:15, BibekWrites Ayushman Yangchenlhamoj Plenty of gas for an alleged PhD , TenzingLamsang , ,23656,Thimphu 
7/11/20 11:59, LatoyaFerns IYCMaha satyajeettambe brijdutt INCIndia xf0 x9f xa5 xb0 xf0 x9f x99 x8c xf0 x9f x8f xbc You know it xe2 x80 x99s ditto , namgayzam , ,22831,Thimphu 
7/11/20 11:53, LatoyaFerns IYCMaha satyajeettambe brijdutt INCIndia Tashi delek my dear charo xf0 x9f x92 x95 , namgayzam , ,22831,Thimphu 
7/11/20 11:39, justme277 CaroWozniacki Close your mouth first , chunjurrinchhen , ,187,Thimphu 
7/11/20 10:32, Am I scared amp worried of COVID 19 BIG YES I m using MASK to prevent myself family and others because I CARE Do You BMT Happiness House https t co 00zFQ7601A , bhutan majestic , COVID MASK ,1130,Thimphu 
7/11/20 10:29, sowfflll Than wrote xf0 x9f x96 x8a jackpot a note containing lot of xf0 x9f x90 xbb xf0 x9f xa4 x97 , DziJ , ,1688,Thimphu 
7/11/20 9:52, aayosanket Proud Nepalese Exactly , TenzingLamsang , ,23656,Thimphu 
7/11/20 9:42, What if unfair is fair xf0 x9f x98 xa3 xf0 x9f x98 xa3 xf0 x9f x98 xa3 xf0 x9f x98 xa3 , SonamZa75499076 , ,2,Thimphu 
7/11/20 9:40, Upgrading connectivity in the Buddhist circuit Kushinagar airport declared as International Airport to provide additional facilities and flights for devotees and pilgrims on the Lord xe2 x80 x99s trail Do read https t co kZSwBF1cQt https t co vQRmfrWLkR , Indiainbhutan , ,10296,Thimphu 
7/11/20 8:57, Reaffirming India xe2 x80 x99s pledge to combat Climate Change PM Narendra Modi says that Solar Energy is Sure Pure and Secure Read the full speech here https t co 8Wx1XQyYDg PMOIndia isolaralliance DrSJaishankar MEAIndia IndianDiplomacy https t co mVtsTahjby , Indiainbhutan , Climate ,10296,Thimphu 
7/11/20 8:38, Practise yoga win prizes Congrats to the winners from xf0 x9f x87 xa7 xf0 x9f x87 xb9 of the Ministry of AYUSH Government of India MyLifeMyYoga video blogging contest Do read the Kuensel report of date DineshKPatnaik https t co qjEBjggROh , Indiainbhutan , MyLifeMyYoga ,10296,Thimphu 
7/11/20 7:59, ndtv BJP Government is doing what ever is best for the country and it xe2 x80 x99s people Please refrain from using BJP xe2 x80 x99s name as they are not corrupted like Congress , nidhi bhattarai , ,3,Thimphu 
7/11/20 7:03, Jocelynellax simp xf0 x9f x98 x82 , uchiha soma , ,65,Thimphu 
7/11/20 7:03, basicvaneRbx Okay take care xf0 x9f xa5 xba , uchiha soma , ,65,Thimphu 
7/11/20 7:02, A radical transformation is upon you and it won xe2 x80 x99t wait a secon More for Virgo https t co ytH6jMhay1 , czdorji , ,2311,Thimphu 
7/11/20 7:01, Enjoying yourself should be your top priority today Put your More for Sagittarius https t co FfKav1h4Nc , kintsho bht , ,30,Thimphu 
7/11/20 7:01, Keep any plans to change your job or increase your income a se More for Taurus https t co EECfQYA8HL , cixx67 , ,1512,Thimphu 
7/11/20 7:00, MrGeorgeBenson waiting for your match preview MrGeorgeBenson , TsheringJatsho , ,14,Thimphu 
7/11/20 7:00, Worrying about others opinions will undermine your earning po More for Pisces https t co uojyhA9mo8 , LobzangYeshey1 , ,314,Thimphu 
7/11/20 6:55, ImKundanKrishna Sounds like it , TenzingLamsang , ,23656,Thimphu 
7/11/20 6:51, Amazing talent of a Nepalese singing at a Chinese talent show Having grown up around Nepalis in my school days in Darjeeling and here in Bhutan Lhotsamphs They are highly talented and culturally adaptable Nepalis also win hearts in singing amp dancing competitions in India https t co RQ560hp9ta , TenzingLamsang , ,23656,Thimphu 
7/11/20 6:38, PravinSawhney True but even the strongest of rising powers need a peaceful neighborhood like the USA in the first half of 20th Century China for all its power is in a pretty hostile neighborhood with disputes with countries like Japan Vietnam India Australia Philippines S Korea etc , TenzingLamsang , ,23656,Thimphu 
7/11/20 6:23, sowfflll So the story is threaded as the angry xf0 x9f x98 xa1 jackpot xe2 x80 x99s Aum had a glass of whiskey met sexy Jigsnews and went looking for a camel and a cow xf0 x9f x90 x84 Oh forgot to read her book as she left it with Achu Khegpa , DziJ , ,1688,Thimphu 
7/11/20 6:21, Finally into shape lawn garden canopy a perfect place to park your bumps https t co RpRSb3Qw98 , KinzangDendup1 , lawn canopy ,217,Thimphu 
7/11/20 5:57, Dagana is a verdant region and over 80 of the district is under forest cover Hardy trees like Champ Augury Chirpine and Sal grow throughout the region Here is one of the most interesting and iconic site of xe2 x80 xa6 https t co 2toMC9k2qh , tourismbhutan , ,11991,Thimphu 
7/11/20 5:53, sowfflll Jackpot xf0 x9f x8d xb7 xf0 x9f xa5 x83 , DziJ , ,1688,Thimphu 
7/11/20 5:28, Better Man than I was Yesterday BlackVictor PC nithildennis Thanks for your random shot xf0 x9f x98 x82 xf0 x9f x98 x8d Thimphu Bhutan https t co GDqpUn0rpd , drupaltroll , BlackVictor ,628,Thimphu 
7/11/20 4:48, Wisdom comes to the heart that is hungry for God AW Tozer tozer pursueGod , GenuineShadow , tozer pursueGod ,377,Thimphu 
7/11/20 4:25, FPLUnderTheRadr Follow me Will follow you , DeependraKoira5 , ,19,Thimphu 
7/11/20 4:24, FPLNym Jimenez bracing awaiting xf0 x9f x98 x81 , DeependraKoira5 , ,19,Thimphu 
7/11/20 4:24, I think a simple peace plan for the region is China India amp Pakistan each keep what territory they have amp tackle real issues like COVID 19 economy climate change human rights etc The other option is to develop thick skins that won xe2 x80 x99t melt when faced with a nuclear blast , TenzingLamsang , ,23656,Thimphu 
7/11/20 1:58, Borrowing from ShekharGupta it is sheer fantasy to imagine any of 3 nuclear armed neighbors with territorial disputes China India amp Pakistan in this day amp age can redraw each other xe2 x80 x99s boundaries by force Everything will be thrown into defending territory including nukes , TenzingLamsang , ,23656,Thimphu 
7/11/20 1:57, Kuensel copy pasted the press release from the Covid19 Task Force word by word into their story KuenselOnline https t co mK0rcoFUUO , yiwangpindarica , ,6936,Thimphu 
7/11/20 1:54, Fourth paragraph states Three foreign workers without any documents issued by the Department of Immigrations were apprehended How did they get in, yiwangpindarica , ,6936,Thimphu 
7/11/20 1:18, Just it case you missed it Kuensel reports on India xe2 x80 x99s policy response to stimulate the economy in the wake of Covid 19 https t co QHAmspumBl PMOIndia MEAIndia IndianDiplomacy DrSJaishankar DDNewslive PBNS India PIB India PTI News KuenselOnline BBSBhutan BhutanT , Indiainbhutan , ,10296,Thimphu 
7/10/20 22:52, nydosas hello Are you open tomorrow 7 11 , aniruddhakul , ,26,Thimphu 
7/10/20 21:15, amazing https t co wQAIxEhUCP , SyedSaa1 , ,1572,Thimphu 
7/10/20 20:26, It s Official I declare myself a Pushover and i never accepted it guilty though it was too obvious Just leave me alone Please , its Astrophile , ,4,Thimphu 
7/10/20 20:26, TheINFP Bear after 1 hour Yum sha momo and fish sticks Then again u can do it Let this be last Best of luck , its Astrophile , ,4,Thimphu 
7/10/20 19:59, read this bastard https t co ODaG8rtRjn https t co cSqWSpZ4HC , SyedSaa1 , ,1572,Thimphu 
7/10/20 19:57, love you dear Salma from Pakistan https t co 3jC1GSBIH9 https t co yevmhF3ia1 , SyedSaa1 , ,1572,Thimphu 
7/10/20 19:35, Changlimithang park photographer photography photooftheday photo photoshoot nature instagood love picoftheday instagram canon portrait art like naturephotography model travelphotography https t co ZCD6ApGwiD , SonamLhendup19 , photographer photography photooftheday photo photoshoot nature instagood love picoftheday instagram canon portrait art like naturephotography model travelphotography ,0,Bhutan 
7/10/20 18:52, megaclang HectorBellerin SergeGnabry Still a plastic fan asshole , chimidorji7 , ,62,Thimphu 
7/10/20 18:37, megaclang HectorBellerin SergeGnabry Plastic fan , chimidorji7 , ,62,Thimphu 
7/10/20 18:13, HectorBellerin SergeGnabry Hector Just focus on your football We want good performance from you every week Moreover you have Anisley and Cedric as competition now , chimidorji7 , ,62,Thimphu 
7/10/20 16:46, Mental pain is less dramatic than physical pain but it is more common and also more hard to bear The frequent attempt to conceal mental pain increases the burden it is easier to say My tooth is aching than to say My heart is broken C S Lewis , GenuineShadow , ,377,Thimphu 
7/10/20 16:19, https t co mABHlWKGi5 HealthyEating Produce 10 reasons why one should eat healthy naturally grown and healthy foods Also find out what should one do to lead a healthy life , backyardheaven , HealthyEating Produce ,253,Thimphu 
7/10/20 16:01, rightIess BloxFruits What character is that , uchiha soma , ,65,Thimphu 
7/10/20 16:00, iix Ally Lol sad , uchiha soma , ,65,Thimphu 
7/10/20 15:55, basicvaneRbx Reinstall windows 10 , uchiha soma , ,65,Thimphu 
7/10/20 15:54, iix Ally Just forget it xf0 x9f xa5 xba , uchiha soma , ,65,Thimphu 
7/10/20 15:46, phuntsho95 Be safe if you are in the southern parts xf0 x9f x99 x82 , zzezenn , ,1923,Thimphu 
7/10/20 15:35, yucee5 GPforEducation Hello , yucee56 , ,44,Thimphu 
7/10/20 14:55, Last Goodbye Despite some hard tasks and gloominess especially during Computer Programming and Mathematics classes you stumble upon during the last 3 years in the college at the xe2 x80 xa6 https t co kJQ7QdGGgp , drupaltroll , ,628,Thimphu 
7/10/20 13:09, beauty in Saree https t co m5rFASCFH3 https t co P7shdiGt5o , SyedSaa1 , ,1572,Thimphu 
7/10/20 11:49, beauty in Sarees https t co eG2I3vRPWh , SyedSaa1 , ,1572,Thimphu 
7/10/20 11:14, iix Ally Cool but nty , uchiha soma , ,65,Thimphu 
7/10/20 10:48, What an Advertisement when tourismbhutan is having tough time tackling issues with unemployed guides fridy thoughts https t co 4bhjXuammc , Tobgay3 , ,108,Thimphu 
7/10/20 9:29, In Dzongkha Prime Minister xe2 x80 x99s address at the India Global Week hosted by India Inc on 9 July 2020 PMOIndia MEAIndia IndianDiplomacy https t co lgzEGYFlOY , Indiainbhutan , ,10296,Thimphu 
7/10/20 8:45, Well said blackneckedcranes https t co 3Oo3DrDSLX , davidmhecht , blackneckedcranes ,490,Thimphu 
7/10/20 7:51, NABAJIT69631783 A ban does not mean hate And no I don xe2 x80 x99t hate Indians or India Please comprehend my tweet better , namgayzam , ,22831,Thimphu 
7/10/20 7:04, Royal Bhutan Police arrested six men involved in series of burglary of Lhakhangs and Chorten vandalism Offence against Ku Sung Thukten and Zung cases in Paro Thimphu and Haa Dzongkhags They were arrested on 06 and 07 July 2020 from Dogar Paro RBP https t co zjtsM2rJzS , business bhutan , ,10466,Thimphu 
7/10/20 7:02, Joining forces with an upbeat and optimistic person is a good More for Virgo https t co ytH6jMhay1 , czdorji , ,2311,Thimphu 
7/10/20 7:01, Spending time with your family or people who feel like family More for Sagittarius https t co FfKav1h4Nc , kintsho bht , ,30,Thimphu 
7/10/20 7:01, Working with a creative team could be both productive and rewa More for Taurus https t co EECfQYA8HL , cixx67 , ,1512,Thimphu 
7/10/20 7:00, Connecting with your higher calmer self can make it possible More for Pisces https t co uojyhA9mo8 , LobzangYeshey1 , ,314,Thimphu 
7/10/20 6:51, jins94475391 namgayzam Lol Same here , Phuuuuubz19 , ,180,Thimphu 
7/10/20 6:45, Oh this young man Haha https t co mGK4MyvTwV , namgayzam , ,22831,Thimphu 
7/10/20 6:19, Yoga gathers impetus in Bhutan Business Bhutan felicitates the country level winners of the Ministry of AYUSH MyLifeMyYoga video blogging contest Take a look MyLifeMyYoga MEAIndia IndianDiplomacy ICCR Delhi moayush business bhutan https t co VJUIIBGSeA , Indiainbhutan , MyLifeMyYoga MyLifeMyYoga ,10296,Thimphu 
7/10/20 6:08, Yoga touches more lives in Bhutan Bhutan Times captures the highlights of the prize distribution ceremony of the MyLifeMyYoga video blogging contest launched by the Ministry of AYUSH and ICCR MEAIndia IndianDiplomacy ICCR Delhi moayush https t co PR3LfRit8k , Indiainbhutan , MyLifeMyYoga ,10296,Thimphu 
7/10/20 5:19, xf0 x9f x92 x95 xe0 xb8 x97 xe0 xb8 xa3 xe0 xb8 x87 xe0 xb8 x9e xe0 xb8 xa3 xe0 xb8 xb0 xe0 xb9 x80 xe0 xb8 x88 xe0 xb8 xa3 xe0 xb8 xb4 xe0 xb8 x8d xf0 x9f x99 x8f Our graceful and cute Prince of Bhutan xf0 x9f x87 xa7 xf0 x9f x87 xb9 Our two Kings xf0 x9f x91 x91 xf0 x9f x91 x91 and the future King xf0 x9f x91 x91 xf0 x9f x99 x8f Long live their Majesty and the Prince xf0 x9f x91 x91 xe2 x80 x9c HEARTS OF BHUTAN xe2 x80 x9c https t co E30stlMejE , NamgaySkidas , ,241,Paro 
7/10/20 5:15, Chukha is a hot and wet region located in the dense subtropical forests in Southern Bhutan The region is not only religiously significant but also is home to many important plants and animal species The Tourism xe2 x80 xa6 https t co QBShrWxqDk , tourismbhutan , ,11991,Thimphu 
7/10/20 5:01, His Majesty The King is on a Royal Tour of the central eastern and southern parts of Bhutan to inspect the impact and works related to COVID19 The Prime Minister and the National Council Chairperson are accompanying His Majesty https t co 902dZxZfQR https t co vMMF2xuGbQ , moafbhutan , ,455,Thimphu 
7/10/20 4:58, The GNHC and the Asian Forest Cooperation Organisation signed a memorandum of understanding for the project title xe2 x80 x98Sustainable Community Based Enterprises for Improved Livelihood xe2 x80 x99 in presence of the implementing partner DoFPS https t co dCkc0s4UlF https t co TFeZj75ipo , moafbhutan , ,455,Thimphu 
7/10/20 4:32, COVID 19 update from Bhutan xf0 x9f x87 xa7 xf0 x9f x87 xb9 ONLY 5 in ISOLATION Wear MASK Maintain PHYSICALDISTANCE Use DRUKTRACE app WASHHANDS amp Stay Safe xf0 x9f x99 x8f BMT Happiness House https t co 1BsJHkh7Dc , bhutan majestic , COVID MASK PHYSICALDISTANCE DRUKTRACE WASHHANDS ,1130,Thimphu 
7/10/20 4:08, Would be nice to see Bhutan ban some Indian channels too xe2 x80 x9cnews xe2 x80 x9d and those saas bahu dead people resurrecting serials sorrynotsorry , namgayzam , sorrynotsorry ,22831,Thimphu 
7/10/20 4:07, peaxchynessa Nuuu My pinky toe got swollon today cause I hit it hard on chair by mistake , uchiha soma , ,65,Thimphu 
7/10/20 3:53, Siimply Kimly Sweet voice xf0 x9f x92 x8e , uchiha soma , ,65,Thimphu 
7/10/20 3:52, Eight basic persuasion techniques in understanding media messages https t co YGUcaAKEMy , BhutanMediaFdn , ,839,Thimphu 
7/10/20 1:34, It s hard to stay on your toes always imagine that https t co XPNZ6OhwFS , yiwangpindarica , ,6936,Thimphu 
