2020-08-05 06:49:50, Pregnancy during pandemic https t co fjH6HwLvYG https t co azhPlRfTuV , business bhutan , ,10629,Thimphu 
2020-08-05 06:43:45, With BSc Forestry students from the Royal University of Bhutan Fieldwork for Applied Conservation Science in southern Bhutan https t co 6Rd11w7z2n , JambayJax , ,25,Punakha 
2020-08-05 05:55:53, Bhutan in 30 seconds was recently featured on CNN TV Bhutan is a safe and still the number 1 destination to travel Here is the link to the original video https t co Z4wkpiKFBu bhutantourism bhutan happiness source Tourism Council of Bhutan , TsheringJatsho , bhutantourism bhutan happiness ,15,Thimphu 
2020-08-05 05:53:42, The explosion in Beirut is a mystery massive that killed atleast 100 amp 4k injured Damages reported upto 15miles from the explosion center We express heartfelt and sincere condolences to the departed souls in Beirut Sending so much love from Bhutan PrayforBeirutLebanon https t co pKibiyTDXC , ChadoLingpa , Bhutan PrayforBeirutLebanon ,12,Thimphu 
2020-08-05 05:53:20, On the joyous occasion of Birth Anniversary of Her Royal Highness Ashi Sonam Dechan Wangchuck the family of BhutanLaw lit thousand butter lamp amp offered our prayers for Her long happy life Her Highness is the champions of justice and rule of law With respect amp gratitude xf0 x9f x99 x8f https t co 1SX1SuTXzq , ChhedupSangay , ,1104,Thimphu 
2020-08-05 05:33:04, Yiga Chocolate and Mountain Hazelnuts kick off landmark collaboration to produce hazelnut chocolate https t co piyXanj4Kp https t co OBfxEPt6sG , business bhutan , ,10629,Thimphu 
2020-08-05 05:22:19, TenzingLamsang Jai Shree Ram and Many congratulations to BJP for filling your mandate Proud of you and keep making India great Best wishe , nidhi bhattarai , ,6,Thimphu 
2020-08-05 05:21:11, priyankac19 Jai Shree Ram and May congratulations to BJP for filling your mandate Proud of you and keep making India great Best wishes , nidhi bhattarai , ,6,Thimphu 
2020-08-05 05:16:50, The Ram Temple coming up is not only due to a Ram Temple movement of the early 90 xe2 x80 x99s but is also linked to the metooindia movement where a SC female employee made sexual harassment allegations against the former SC CJ An allegation for the executive to investigate or follow up , TenzingLamsang , metooindia ,23863,Thimphu 
2020-08-05 03:55:03, Meet your shaper Yeshi who is passionate about law and teaching xf0 x9f x92 xbc xf0 x9f x91 xa9 xe2 x80 x8d xf0 x9f x8f xab Keep following our posts to know your Thimphu shapers knowyourshapers shaers shapersbhutan https t co 8WUozZDtr9 , ShapersThimphu , knowyourshapers shaers shapersbhutan ,16,Thimphu 
2020-08-05 03:51:58, The number is 105 today with additional 2 returnees from MiddleEast testing positive for COVID19 test in Paro Bhutan Still NIL community transmission but the risks are increasing as more Bhutanese flaunt travel rules CoronaTimes CoronaVirusUpdates coronavirus , kuenzakarma , MiddleEast COVID19 Paro Bhutan CoronaTimes CoronaVirusUpdates coronavirus ,1380,Thimphu 
2020-08-05 03:42:01, For any country worried about multiple external enemies it is prudent to not start a new front within by antagonizing amp alienating its minority population Enemies at the gates will come amp go but problems created within will drain away the strength amp peace of a country amp society , TenzingLamsang , ,23863,Thimphu 
2020-08-05 03:02:44, Discovered this beautiful shop called Colours of Bhutan which had the most soothing colour palettes for summer hovering like soft whispers in our xe2 x80 xa6 https t co tRJvcDfDFn , LovenRamos , ,2123,Bhutan 
2020-08-05 02:50:25, Scary scene BBC News Beirut blast Lebanon in mourning after massive explosion https t co g6VykBy9SV , KinzangDendup1 , ,218,Thimphu 
2020-08-05 02:41:13, Jammu amp Kashmir New Vision New Horizon Combatting COVID 19 with robust testing hospital facilities and financial assistance to help the weakest sections of society OneYearofDevelopment PMOIndia DrSJaishankar MEAIndia IndianDiplomacy https t co azSMPKzJyh , Indiainbhutan , OneYearofDevelopment ,10581,Thimphu 
