2020-08-27 17:17:01, youneshh May be your Friday prediction was correct , TsheringJatsho , ,15,Thimphu 
2020-08-27 17:15:08, youneshh Here 11pm waiting for announcement Now better to sleep , TsheringJatsho , ,15,Thimphu 
2020-08-27 17:04:22, No new cases detected today as of 11 PM Good night COVID 19BHU https t co r5McbhvNe0 , MoHBhutan , COVID 19BHU ,1601,Thimphu 
2020-08-27 17:03:30, Dragon35237107 Flooded with your tweets now xf0 x9f xa4 xad , zzezenn , ,1989,Thimphu 
2020-08-27 16:57:31, Dragon35237107 It s real and a pic of long long time ago , zzezenn , ,1989,Thimphu 
2020-08-27 16:55:23, Dragon35237107 Let the lockdown open ride in this tiny bike for sure xf0 x9f xa4 xad , zzezenn , ,1989,Thimphu 
2020-08-27 16:30:39, https t co RmVybMk4dO These sort of series which they are so adept at producing are one of the reasons for me being a paid subscriber to The Times Must read , sandeeps13 , ,272,Thimphu 
2020-08-27 15:56:44, beauty in saree https t co fqYh0R3BL5 , SyedSaa1 , ,1546,Thimphu 
2020-08-27 15:53:30, The hermit living harmonious life with skittish Satyr Tragopan in the mountain of BHUTAN Phub Dorji Connect with something greater than yourself thursdayvibes travel ThursdayThoughts Bhutan wildlife https t co uv3Mfoxdk6 , BhutanTripAdv , thursdayvibes travel ThursdayThoughts Bhutan wildlife ,5830,Thimphu 
2020-08-27 15:35:02, They cannot speak out their hunger pl do not hit them They deserve our love and care Pic frm Orjain FB https t co PENZfHYWl7 , ChadoLingpa , ,21,Thimphu 
2020-08-27 15:06:56, TendelZam I too had one set only we got additional one , KinzangDendup1 , ,220,Thimphu 
2020-08-27 14:42:08, Thank you lockdown Received standing ovation from my hair for constantly keeping in touch with pillows , ChokiDo56246935 , ,5,Thimphu 
2020-08-27 14:40:04, passangyt I was doing 2019 s pending work until then haha xf0 x9f x98 x82 , ChhedupSangay , ,1129,Thimphu 
2020-08-27 14:31:42, TendelZam Hope so all of us got , KinzangDendup1 , ,220,Thimphu 
