2020-08-30 18:24:35, peechetodekho Superb xf0 x9f x91 x8c xf0 x9f x91 x8c xf0 x9f x91 x8c , vikrantparate , ,21,Thimphu 
2020-08-30 17:00:40, No more cases detected today as of 11pm besides the 27 cases announced in the afternoon COVID 19BHU https t co 2JMve3lmoO , MoHBhutan , COVID 19BHU ,1621,Thimphu 
2020-08-30 16:23:24, JigsNews ha na 08 jackpot15 arunkapur I would love join even if JigsNews don t invite me , zzezenn , ,2000,Thimphu 
2020-08-30 16:03:11, OmairTAhmad Right , namgayzam , ,23764,Thimphu 
2020-08-30 15:53:41, OmairTAhmad Awww Even another friend was apologising Don xe2 x80 x99t know what the Indian Embassy is doing right now Bhutanese resentment is building by the day , namgayzam , ,23764,Thimphu 
2020-08-30 15:52:08, Stay safe Stay healthy Wash your hand frequently God bless us our genkhu pandemic Thimphu Bhutan https t co a2emO0VQsC , Shachagyeltshen , our genkhu pandemic ,121,Thimphu 
2020-08-30 15:50:59, OmairTAhmad Oh you don xe2 x80 x99t have to be sorry I xe2 x80 x99m mad at Dantak Discovered today that their camp in Pling has two gates One opens in Bhutan and one into Jaigaon looks like they had free movement after all , namgayzam , ,23764,Thimphu 
2020-08-30 15:49:16, OmairTAhmad 100 would be including recovered so all cases till date , namgayzam , ,23764,Thimphu 
2020-08-30 15:48:34, OmairTAhmad Total cases till date is correct I meant active cases which is 87 and we saw the biggest jump in positive cases till date because of cases at Dantak 27 in one go So add 27 21 for Dantak amp Imtrat figures , namgayzam , ,23764,Thimphu 
2020-08-30 15:43:48, OmairTAhmad Bhutan xe2 x80 x99s total no of active cases as of today is 87 of which 39 are Bhutanese 48 are Indians in Bhutan from Dantak 43 Imtrat 5 Dantak officials cannot be reached for comment by national media Indian Embassy is silent too , namgayzam , ,23764,Thimphu 
2020-08-30 15:36:23, In some cities like Delhi we may already have reached Herd Immunity The downside is that deaths will also rise as the virus spreads to every nook and corner of the subcontinent , sandeeps13 , ,275,Thimphu 
2020-08-30 15:32:49, Models in early summer had predicted that the pandemic would peak in August My personal calculation is that the peak is almost 2 months away from now https t co GJOkCV02Ye , sandeeps13 , ,275,Thimphu 
2020-08-30 15:20:19, ManUtd Repost https t co ukWZ71SmBn , SWangyel , ,26,Thimphu 
2020-08-30 15:05:25, Lots of discussion on social media about the recent spike in COVID19 cases However people forget Kissinger xe2 x80 x99s famous dictum there are no permanent friends or enemies only permanent interests May even apply to people , sandeeps13 , ,275,Thimphu 
2020-08-30 15:00:54, hdopeway24 This is the app in play store should be the same in IOS For details you can DM me Thank you https t co XxZKG6DT1G , zzezenn , ,2000,Thimphu 
2020-08-30 14:58:46, Dragon35237107 Rajkumar7 jackpot15 drukanddrukpa tserim8 Now cheer up , zzezenn , ,2000,Thimphu 
2020-08-30 14:46:56, Sonam Cake Delight Babesa gifts yet another delicious cake for Desuups Thank you la https t co oUvWvIJZGL , pem pa , ,341,Thimphu 
2020-08-30 14:40:32, Tshering046 I did I said good not because they are interested but because we have some good natural resources , ChhedupSangay , ,1129,Thimphu 
2020-08-30 14:03:11, MahendraTimsina Yes because this is one main medical cluster It xe2 x80 x99s not racial profiling , namgayzam , ,23764,Thimphu 
2020-08-30 14:00:44, karmajigmepema Rajkumar7 jackpot15 drukanddrukpa tserim8 How Where xf0 x9f xa4 xa3 , zzezenn , ,2000,Thimphu 
2020-08-30 13:58:01, I strongly agree https t co pKzAMU89Dn , Jagpamelen , ,521,Thimphu 
2020-08-30 13:56:41, AjangBrokpa This new normal is bit strange then Hope that doesn t happen Must be kidding , ChhedupSangay , ,1129,Thimphu 
2020-08-30 13:42:08, Rajkumar7 jackpot15 drukanddrukpa tserim8 I meant what ever face he has xf0 x9f xa4 xa3 xf0 x9f xa4 xad , zzezenn , ,2000,Thimphu 
2020-08-30 13:38:15, Health Facility Safety Measures Stay Safe xf0 x9f x99 x8f Thimphu Bhutan https t co 8k8Jbo7yzJ , bhutan majestic , ,1141,Thimphu 
2020-08-30 13:34:14, BBS Radio A brief visit to the hell realms Part 1 https t co p1YJgettV0 , BBSBhutan , ,52550,Thimphu 
2020-08-30 13:32:05, Rajkumar7 jackpot15 drukanddrukpa tserim8 Pls tell him I can t wait to see a new face , zzezenn , ,2000,Thimphu 
2020-08-30 13:26:45, KuenselOnline So its Dantak who made the pandemic communal in Bhutan , happy tashi , ,7,Thimphu 
2020-08-30 13:03:49, Rajkumar7 jackpot15 drukanddrukpa tserim8 I m dying of boredom xf0 x9f x98 xad , zzezenn , ,2000,Thimphu 
2020-08-30 12:17:41, HemrajTamang14 Dantak officials unreachable according to national broadcaster BBSBhutan , namgayzam , ,23764,Thimphu 
2020-08-30 12:05:45, covid19update Bhutan 27 people tests positive from DANTAK cluster at Phuntsholing taking Bhutan s total to 222 Total Active cases increases to 87 So who is luung chamka joktang COVIDIOTS , kuenzakarma , covid19update Bhutan DANTAK Phuntsholing Bhutan COVIDIOTS ,1383,Thimphu 
2020-08-30 11:07:25, Highest jump in local transmission today since Covid 19 outbreak in Bhutan because of Dantak 27 positive cases Total Dantak cases 27 16 43 Imtrat 5 Almost 50 of active cases total 87 is Dantak Dantak has some explaining to do , namgayzam , ,23764,Thimphu 
2020-08-30 10:48:45, breaking 27 individuals in Phuentsholing tested positive for Covid 19 today morning They are all from the Project DANTAK premises , Thinley25 , breaking ,322,Thimphu 
2020-08-30 09:33:43, MerrittBaer Secy Albright was so prescient about the rise of fascism in America , tsnamgyal , ,30,Thimphu 
2020-08-30 08:53:04, JigsNews ha na 08 jackpot15 arunkapur Haha aww anyways in for it , zzezenn , ,2000,Thimphu 
2020-08-30 08:46:03, DorjiWangchuk True I think we strive for inclusiveness that no one is hurt both physically amp mentally Tobacco must be on the priority lists for those smokers or tobacco users Or so by making this as one of the priorities I think others are not left out Something we need to proud of , ChhedupSangay , ,1129,Thimphu 
