2020-08-13 13:13:49, DorjiWangchuk I xe2 x80 x99m very concerned about alcohol The DV cases I shudder at the thought , namgayzam , ,23399,Thimphu 
2020-08-13 13:13:33, iix Ally catexdicaprio donut24x1 ThePinkShedric GL noob , uchiha soma , ,82,Thimphu 
2020-08-13 13:12:09, Bhutan Where every desire is catered to even in a lockdown https t co aBnVJs5eWU , namgayzam , Bhutan ,23399,Thimphu 
2020-08-13 13:07:00, Deepest respects and humble prayers for Our Majesty kingjigmekhesar compassionatekingofbhutan kingjigmekhesar oneinmillionleader xf0 x9f x98 x87 xf0 x9f x98 x87 xf0 x9f x98 x87 xf0 x9f x99 x8f xf0 x9f x99 x8f xf0 x9f x99 x8f https t co WzQwWOuWEF , lhakidolma , ,1286,Thimphu 
2020-08-13 12:50:43, That moment when I was busy on my phone but forgot to mute my mic in my zoom online class nsm10150 iamtashiyangzom xf0 x9f x98 x9c xf0 x9f xa4 x97 xf0 x9f xa4 x97 xf0 x9f xa4 x97 https t co TR46wj2kPS , sonamhamo , nsm10150 ,273,Thimphu 
2020-08-13 12:50:41, it s 27 000 households , ChhedupSangay , ,1106,Thimphu 
2020-08-13 12:49:50, 421 primary contacts traced so far for the 25 year old positive case from Phuntsholing It is very likely that the primary contacts for the 12 new positive cases will be the same as all of them have reportedly not xe2 x80 xa6 https t co sVlYoglk7z , MoHBhutan , ,1489,Thimphu 
2020-08-13 12:46:17, Starting today we have supplied vegetables as well There s no concern of not selling the vegetables but concern is it is difficult to supply to 7 000 households It s difficult HPM , ChhedupSangay , ,1106,Thimphu 
2020-08-13 12:43:51, Government is planning to supply lcohol and cigarettes to the door steps HPM , ChhedupSangay , ,1106,Thimphu 
2020-08-13 12:41:47, If we have left no stock we can still import We need not worry The only concern is we have stock but might not reach out to those needy ones in the communities HPM , ChhedupSangay , ,1106,Thimphu 
2020-08-13 12:40:23, We have enough essential stock available HPM , ChhedupSangay , ,1106,Thimphu 
2020-08-13 12:39:18, There are more than 70 trucks in Phuntsholing Check Post They are still there We can let them go once we are ready to test them There may be difficulties but this is also serving the country HPM , ChhedupSangay , ,1106,Thimphu 
2020-08-13 12:38:42, sambitswaraj narendramodi Congratulations Sir , nidhi bhattarai , ,6,Thimphu 
2020-08-13 12:25:32, His Majesty is concern of dogs going starvation and therefore planning to feed them HPM No leader can he more humane and compassionate than His Majesty Thank you la , ChhedupSangay , ,1106,Thimphu 
2020-08-13 12:24:19, Phuentshogling MDP without loaders https t co B2k3YVPcSg , BBSBhutan , ,51820,Thimphu 
2020-08-13 12:23:00, 45 000 dogs in the 20 districts of Bhutan says PMBhutan All will be fed as instructed by His Majesty xf0 x9f x99 x8f xf0 x9f x8f xbc xf0 x9f xa5 xba xf0 x9f x87 xa7 xf0 x9f x87 xb9 , namgayzam , ,23399,Thimphu 
2020-08-13 12:06:10, Day 2 Lockdown https t co XmOjyjmEwh , Thinley25 , ,323,Thimphu 
2020-08-13 11:49:51, shadyfenty They always start with I like them both but lol , Xiao920 , ,96,Thimphu 
2020-08-13 11:47:23, ATLiensOfficial Agreed xe2 x9c x8c xf0 x9f x8f xbb , Xiao920 , ,96,Thimphu 
2020-08-13 11:02:53, Only in Bhutan lt 3 https t co DWUst6ja9r , Dolro , Bhutan ,1009,Thimphu 
2020-08-13 10:59:30, National COVID 19 Greviance Redressal Help Desk has been activated Call 1023 for greviances if any COVID 19BHU https t co KbKFiGYv3j , MoHBhutan , COVID 19BHU ,1489,Thimphu 
2020-08-13 10:52:31, thursday blessing dear https t co dWreM5iZhx https t co aGxpofYVfb , SyedSaa1 , ,1543,Thimphu 
